Word,Pronunciation
the,ði
of,ʌv
and,ænd
to,tu
a,eɪ
in,ɪn
that,ðæt
is,ɪz
was,wʌz
he,hi
for,fɔr
it,ɪt
with,wɪθ
as,æz
his,hɪz
on,ɔn
be,bi
at,æt
by,baɪ
i,aɪ
this,ðɪs
had,hæd
not,nɑt
are,ɑr
but,bʌt
from,frʌm
or,ɔr
have,hæv
an,æn
they,ðeɪ
which,wɪtʃ
one,wʌn
you,jə
were,wɚ
her,hɝ
all,ɔl
she,ʃi
there,ðɛr
would,wʊd
their,ðɛr
we,wi
him,hɪm
been,bɪn
has,hæz
when,wɛn
who,hu
will,wɪl
more,mɔr
if,ɪf
no,noʊ
out,aʊt
so,soʊ
said,sɛd
what,wʌt
up,ʌp
its,ɪts
about,əˈbaʊt
into,ˈɪn.tə
than,ðæn
them,ðɛm
can,kæn
only,ˈoʊn.li
other,ˈʌ.ðɚ
new,nju
some,sʌm
could,kʊd
time,taɪm
these,ðiz
two,tu
may,meɪ
then,ðɛn
do,du
first,fɝst
any,ˈɛ.ni
my,maɪ
now,naʊ
such,sʌtʃ
like,laɪk
our,ˈaʊ.ɚ
over,ˈoʊ.vɚ
man,mæn
me,mi
even,ˈi.vən
most,moʊst
made,meɪd
after,ˈæf.tɚ
also,ˈɔl.soʊ
did,dɪd
many,ˈmɛ.ni
before,bɪˈfɔr
must,mʌst
through,θru
back,bæk
years,jɪrz
much,mʌtʃ
where,wɛr
your,jʊr
way,weɪ
well,wɛl
down,daʊn
should,ʃʊd
because,bɪˈkʌz
each,itʃ
just,dʒʌst
those,ðoʊz
people,ˈpi.pəl
mr.,ˈmɪs.tɚ
how,haʊ
too,tu
little,ˈlɪ.təl
state,steɪt
good,gʊd
very,ˈvɛ.ri
make,meɪk
world,wɝld
still,stɪl
own,oʊn
see,si
men,mɛn
work,wɝk
long,lɔŋ
here,hir
get,gɛt
between,bɪˈtwin
both,boʊθ
life,laɪf
being,ˈbi.ɪŋ
under,ˈʌn.dɚ
never,ˈnɛ.vɚ
day,deɪ
same,seɪm
another,əˈnʌ.ðɚ
know,noʊ
while,waɪl
last,læst
us,ʌs
might,maɪt
great,greɪt
old,oʊld
year,jɪr
off,ɔf
come,kʌm
since,sɪns
against,əˈgɛnst
go,goʊ
came,keɪm
right,raɪt
used,juzd
take,teɪk
three,θri
himself,hɪmˈsɛlf
states,steɪts
few,fju
house,haʊs
use,juz
during,ˈdʊ.rɪŋ
without,wɪˈθaʊt
again,əˈgɛn
place,pleɪs
american,əˈmɛ.rɪ.kən
around,əˈraʊnd
however,ˌhaʊˈɛ.vɚ
home,hoʊm
small,smɔl
found,faʊnd
mrs.,ˈmɪ.sɪz
thought,θɔt
went,wɛnt
say,seɪ
part,pɑrt
once,wʌns
general,ˈdʒɛ.nrəl
high,haɪ
upon,əˈpɑn
school,skul
every,ˈɛv.ri
don't,doʊnt
does,dʌz
got,gɑt
united,juˈnaɪ.təd
left,lɛft
number,ˈnʌm.bɚ
course,kɔrs
war,wɔr
until,ənˈtɪl
always,ˈɔl.weɪz
away,əˈweɪ
something,ˈsʌm.θɪŋ
fact,fækt
water,ˈwɔ.tɚ
though,ðoʊ
public,ˈpʌ.blɪk
less,lɛs
put,pʊt
think,θɪŋk
almost,ˈɔlˌmoʊst
hand,hænd
enough,ɪˈnʌf
far,fɑr
took,tʊk
head,hɛd
yet,jɛt
government,ˈgʌ.vɚn.mənt
system,ˈsɪs.təm
better,ˈbɛ.tɚ
set,sɛt
told,toʊld
night,naɪt
nothing,ˈnʌ.θɪŋ
end,ɛnd
why,waɪ
called,kɔld
didn't,ˈdɪ.dənt
eyes,aɪz
find,faɪnd
going,ˈgoʊ.ɪŋ
look,lʊk
asked,æskt
later,ˈleɪ.tɚ
knew,nju
point,pɔɪnt
next,nɛkst
program,ˈproʊˌgræm
business,ˈbɪz.nəs
city,ˈsɪ.ti
group,grup
give,gɪv
toward,təˈwɔrd
young,jʌŋ
days,deɪz
let,lɛt
room,rum
president,ˈprɛ.zɪ.dənt
side,saɪd
social,ˈsoʊ.ʃəl
given,ˈgɪ.vən
present,ˈprɛ.zənt
several,ˈsɛv.rəl
order,ˈɔr.dɚ
national,ˈnæʃ.ə.nəl
possible,ˈpɑ.sə.bəl
rather,ˈræ.ðɚ
second,ˈsɛ.kənd
face,feɪs
per,pɝ
among,əˈmʌŋ
form,fɔrm
important,ɪmˈpɔr.tənt
often,ˈɔ.ftən
things,θɪŋz
looked,lʊkt
early,ˈɝ.li
white,waɪt
case,keɪs
john,dʒɑn
large,lɑrdʒ
big,bɪg
four,fɔr
need,nid
become,bɪˈkʌm
within,wɪˈθɪn
felt,fɛlt
along,əˈlɔŋ
children,ˈtʃɪl.drən
saw,sɔ
best,bɛst
church,tʃɝtʃ
ever,ˈɛ.vɚ
least,list
power,ˈpaʊ.ɚ
development,dɪˈvɛ.ləp.mənt
light,laɪt
seemed,simd
thing,θɪŋ
family,ˈfæ.mə.li
interest,ˈɪn.trəst
want,wɑnt
members,ˈmɛm.bɚz
mind,maɪnd
area,ˈɛ.ri.ə
country,ˈkʌn.tri
others,ˈʌ.ðɚz
although,ˌɔlˈðoʊ
turned,tɝnd
done,dʌn
open,ˈoʊ.pən
god,gɑd
service,ˈsɝ.vɪs
certain,ˈsɝ.tən
kind,kaɪnd
problem,ˈprɑ.bləm
began,bɪˈgæn
different,ˈdɪ.frənt
door,dɔr
thus,ðʌs
help,hɛlp
sense,sɛns
means,minz
whole,hoʊl
matter,ˈmæ.tɚ
perhaps,pɚˈhæps
itself,ɪtˈsɛlf
it's,ɪts
york,jɔrk
times,taɪmz
human,ˈhju.mən
law,lɔ
line,laɪn
above,əˈbʌv
name,neɪm
example,ɪˈgzæm.pəl
action,ˈæk.ʃən
company,ˈkʌmp.ə.ni
hands,hændz
local,ˈloʊ.kəl
show,ʃoʊ
five,faɪv
history,ˈhɪs.tri
whether,ˈwɛ.ðɚ
gave,geɪv
either,ˈi.ðɚ
today,təˈdeɪ
act,ækt
feet,fit
across,əˈkrɔs
past,pæst
quite,kwaɪt
taken,ˈteɪ.kən
anything,ˈɛ.niˌθɪŋ
having,ˈhæ.vɪŋ
seen,sin
death,dɛθ
body,ˈbɑ.di
experience,ɪksˈpɪ.ri.əns
half,hæf
really,ˈri.li
week,wik
car,kɑr
field,fild
word,wɝd
words,wɝdz
already,ɔlˈrɛ.di
themselves,ðəmˈsɛlvz
i'm,aɪm
information,ˌɪn.fɚˈmeɪ.ʃən
shall,ʃæl
tell,tɛl
college,ˈkɑ.lɪdʒ
together,təˈgɛ.ðɚ
money,ˈmʌ.ni
period,ˈpɪ.ri.əd
held,hɛld
keep,kip
sure,ʃʊr
probably,ˈprɑ.bə.bli
free,fri
seems,simz
behind,bɪˈhaɪnd
cannot,kəˈnɑt
political,pəˈlɪ.tɪ.kəl
real,ˈri.əl
air,ɛr
question,ˈkwɛs.tʃən
making,ˈmeɪ.kɪŋ
office,ˈɔ.fɪs
brought,brɔt
miss,mɪs
whose,huz
special,ˈspɛ.ʃəl
heard,hɝd
major,ˈmeɪ.dʒɚ
problems,ˈprɑ.bləmz
ago,əˈgoʊ
became,bɪˈkeɪm
federal,ˈfɛ.dɚ.əl
moment,ˈmoʊ.mənt
study,ˈstʌ.di
available,əˈveɪ.lə.bəl
known,noʊn
result,rɪˈzʌlt
street,strit
economic,ˌi.kəˈnɑ.mɪk
boy,bɔɪ
position,pəˈzɪ.ʃən
reason,ˈri.zən
change,tʃeɪndʒ
south,saʊθ
board,bɔrd
individual,ˌɪn.dɪˈvɪ.dʒu.əl
job,dʒɑb
am,æm
society,səˈsaɪ.ə.ti
areas,ˈɛ.ri.əz
west,wɛst
close,kloʊs
turn,tɝn
community,kəˈmju.nə.ti
love,lʌv
true,tru
court,kɔrt
force,fɔrs
full,fʊl
cost,kɔst
seem,sim
wife,waɪf
age,eɪdʒ
future,ˈfju.tʃɚ
voice,vɔɪs
wanted,ˈwɑnt.ɪd
department,dɪˈpɑrt.mənt
center,ˈsɛnt.ɚ
woman,ˈwʊ.mən
common,ˈkɑ.mən
control,kənˈtroʊl
necessary,ˈnɛ.səˌsɛ.ri
policy,ˈpɑ.lə.si
following,ˈfɑ.loʊ.ɪŋ
front,frʌnt
sometimes,ˈsʌmˌtaɪmz
girl,gɝl
six,sɪks
clear,klɪr
further,ˈfɝ.ðɚ
land,lænd
able,ˈeɪ.bəl
feel,fil
mother,ˈmʌ.ðɚ
music,ˈmju.zɪk
party,ˈpɑr.ti
provide,prəˈvaɪd
education,ˌɛ.dʒʊˈkeɪ.ʃən
university,ˌju.nəˈvɝ.sə.ti
child,tʃaɪld
effect,ɪˈfɛkt
level,ˈlɛ.vəl
students,ˈstu.dənts
military,ˈmɪ.ləˌtɛ.ri
run,rʌn
short,ʃɔrt
stood,stʊd
town,taʊn
morning,ˈmɔr.nɪŋ
total,ˈtoʊ.təl
outside,ˌaʊtˈsaɪd
figure,ˈfɪ.gjɚ
rate,reɪt
art,ɑrt
century,ˈsɛn.tʃɚ.i
class,klæs
north,nɔrθ
usually,ˈju.ʒə.li
washington,ˈwɔ.ʃɪŋ.tən
leave,liv
plan,plæn
therefore,ˈðɛrˌfɔr
evidence,ˈɛ.və.dəns
million,ˈmɪl.jən
sound,saʊnd
top,tɑp
black,blæk
hard,hɑrd
strong,strɔŋ
tax,tæks
various,ˈvɛ.ri.əs
believe,bɪˈliv
play,pleɪ
says,sɛz
surface,ˈsɝ.fəs
type,taɪp
value,ˈvæl.ju
mean,min
soon,sun
lines,laɪnz
modern,ˈmɑ.dɚn
near,nɪr
peace,pis
table,ˈteɪ.bəl
book,bʊk
red,rɛd
road,roʊd
minutes,ˈmɪ.nəts
personal,ˈpɝ.sə.nəl
process,ˈprɑˌsɛs
situation,ˌsɪ.tʃuˈeɪ.ʃən
alone,əˈloʊn
english,ˈɪŋg.lɪʃ
gone,gɔn
idea,aɪˈdi.ə
increase,ˈɪnˌkris
nor,nɔr
schools,skulz
women,ˈwɪ.mɪn
america,əˈmɛ.rɪ.kə
living,ˈlɪ.vɪŋ
started,ˈstɑr.tɪd
longer,ˈlɔŋ.gɚ
cut,kʌt
dr.,ˈdɑk.tɚ
finally,ˈfaɪ.nə.li
nature,ˈneɪ.tʃɚ
private,ˈpraɪ.vət
secretary,ˈsɛ.krəˌtɛ.ri
third,θɝd
months,mʌnθs
section,ˈsɛk.ʃən
call,kɔl
greater,ˈgreɪ.tɚ
expected,ɪksˈpɛk.tɪd
fire,ˈfaɪ.ɚ
needed,ˈni.dɪd
that's,ðæts
ground,graʊnd
kept,kɛpt
